The Villages - Fenney; no; Ei4zNDI5IFdhcm0gU3ByaW5ncyBBdmUsIFdpbGR3b29kLCBGTCAzNDc4NSwgVVNBIjESLwoUChIJWzgOtfzn54gR5tyzMbu-mWEQ5RoqFAoSCWUowNPk5-eIEdijrVkRfGmq
North Richland Hills; no; Ejk2NjAxIDI2IEJsdmQgc3RlIDEwMiwgTm9ydGggUmljaGxhbmQgSGlsbHMsIFRYIDc2MTgwLCBVU0EiIxohChYKFAoSCatfBRG3eU6GEa9XbDSzw58LEgdzdGUgMTAy
Ocala - 18th Ave Medical Park - Coming Soon; no; EikxNzM3IFNFIDI4dGggTG9vcCBhLCBPY2FsYSwgRkwgMzQ0NzEsIFVTQSIdGhsKFgoUChIJE7vhOmjT54gRl-rNyEE9C-8SAWE
Huntsville - Hospital Drive; no; Ej0xIEhvc3BpdGFsIERyaXZlIFNvdXRod2VzdCBzdGUgMzAxLCBIdW50c3ZpbGxlLCBBTCAzNTgwMSwgVVNBIiMaIQoWChQKEgkTOKo9MBNiiBHz2t6qgm_HVBIHc3RlIDMwMQ
Marietta; no; EjI5OTAgV2hpdGxvY2sgQXZlIE5XIHN0ZSBhLCBNYXJpZXR0YSwgR0EgMzAwNjQsIFVTQSIhGh8KFgoUChIJJ0GrdtwV9YgRg29PwPY6Uv8SBXN0ZSBh
Hiram; no; ChIJL_f-JN469YgRowKwiwxVlNI
Greenville; no; EjM0MTAxIFdlc2xleSBTdCBzdGUgYyAmIGIsIEdyZWVudmlsbGUsIFRYIDc1NDAxLCBVU0EiJRojChYKFAoSCYlCTqFh6EuGEZrOVBGTZsycEglzdGUgYyAmIGI
SaludVIP Winter Park; no; EjkzNzI3IE4gR29sZGVucm9kIFJkIHN1aXRlIDEwNiwgV2ludGVyIFBhcmssIEZMIDMyNzkyLCBVU0EiJRojChYKFAoSCVujrc9xb-eIEdNsJ5JnweIYEglzdWl0ZSAxMDY
SaludVIP Tampa - Wellswood; no; ChIJrTCFBfvDwogRqeRDt0t7J3o
SaludVIP Orlando - MetroWest; no; EjU2MTUwIE1ldHJvd2VzdCBCbHZkIHN1aXRlIDIwNSwgT3JsYW5kbywgRkwgMzI4MzUsIFVTQSIlGiMKFgoUChIJCXoTJyR554gRitkig6nSMOoSCXN1aXRlIDIwNQ
SaludVIP Orlando - Hunter's Creek; no; EjkxMjU1NCBTIEpvaG4gWW91bmcgUGt3eSBzdWl0ZSAxMDUsIE9ybGFuZG8sIEZMIDMyODM3LCBVU0EiJRojChYKFAoSCeVmNuJKh92IEdqobkpFiebPEglzdWl0ZSAxMDU
SaludVIP DeLand; no; ChIJETRNN48c54gRvEd6kfFQOno
SaludVIP Plant City - Coming Soon!; no; ChIJaeR48K423YgRU7nnc8ZHknY
SaludVIP Sarasota Commons - Coming Soon!; no; ChIJJ1ZGbp9Aw4gR2XRQQE0gyB8
